product_id,product_name,category,segment,size,color,units,orders,revenue,gross_margin,discount_amount,gross_before_discount,promo_revenue,promo_units,return_qty,refund_amount,return_orders,first_return,last_return,avg_rating,n_reviews,gross_margin_rate,discount_rate,promo_revenue_share,promo_unit_share,return_rate_qty,refund_share
1,DragonWear MA-01,Casual,All-weather,M,black,8,1,31302.32,9439.2536,6260.46,37562.78,31302.32,8,0.0,0.0,0.0,,,,,0.3015512460418269,0.16666657792634093,1.0,1.0,0.0,0.0
3,DragonWear MA-03,Casual,All-weather,XL,blue,2584,581,26410895.52,-177969.20224510648,1312205.77,27723101.29,8767271.38,956,89.0,857036.97,31.0,2016-05-09,2022-12-11,4.151515151515151,99.0,-0.006738476630235311,0.04733257496243127,0.33195661136748916,0.369969040247678,0.03444272445820434,0.032450129127616946
4,DragonWear MA-04,Casual,All-weather,S,white,735,167,6838217.03,2719253.4160478255,206032.85,7044249.88,1391782.78,170,20.0,166611.39,5.0,2012-08-20,2016-07-22,3.857142857142857,28.0,0.39765532508227885,0.029248373284566108,0.2035300684219436,0.23129251700680273,0.027210884353741496,0.02436474146243937
5,DragonWear MA-05,Casual,All-weather,M,purple,1,1,7673.59,-825.1099999999988,920.83,8594.42,7673.59,1,0.0,0.0,0.0,,,,,-0.10752594287680196,0.10714277403245362,1.0,1.0,0.0,0.0
7,DragonWear MA-07,Casual,All-weather,XL,silver,95,29,474795.88,139072.56465125,22869.2,497665.08,179528.72,39,12.0,50268.78,3.0,2019-02-14,2020-08-11,3.8,5.0,0.2929102178629899,0.0459529931254168,0.37811768712062116,0.4105263157894737,0.12631578947368421,0.10587450758839777
8,DragonWear MA-08,Casual,All-weather,S,pink,2376,523,12013511.16,3199966.3670093766,576727.78,12590238.94,3826917.56,844,90.0,429203.36,32.0,2014-11-07,2022-10-08,4.125,72.0,0.2663639567476272,0.0458075325455261,0.31855113039242394,0.3552188552188552,0.03787878787878788,0.035726720879826444
9,DragonWear MA-09,Casual,All-weather,M,yellow,1545,343,10374686.68,1291590.4651937494,466377.36,10841064.040000001,3420858.6,561,50.0,313227.06,16.0,2018-12-24,2022-07-12,3.857142857142857,63.0,0.12449440691868195,0.0430195189585837,0.32973126856877766,0.36310679611650487,0.032362459546925564,0.030191471767897285
10,DragonWear MA-10,Casual,All-weather,L,red,65,17,514630.51,9287.035000000098,12979.18,527609.69,108159.83,15,1.0,7395.92,1.0,2013-03-07,2013-03-07,5.0,3.0,0.018046024904353412,0.024599965175014133,0.210169875081833,0.23076923076923078,0.015384615384615385,0.014371320503325775
12,DragonWear MA-12,Casual,All-weather,S,orange,88,20,431470.25,94537.85861913042,34048.7,465518.95,234018.43000000002,51,3.0,13601.4,2.0,2019-07-27,2022-08-17,5.0,1.0,0.2191063198891011,0.07314138339588538,0.5423744279008809,0.5795454545454546,0.03409090909090909,0.031523378494809316
13,DragonWear MA-13,Casual,All-weather,M,blue,228,49,1131972.1199999999,204755.87196000002,52996.87,1184968.99,339882.08999999997,77,0.0,0.0,0.0,,,4.333333333333333,6.0,0.18088420054020415,0.04472426742576614,0.3002565911252302,0.33771929824561403,0.0,0.0
14,DragonWear MA-14,Casual,All-weather,L,white,96,19,453381.86,31283.236256000022,13349.21,466731.07,107481.98999999999,25,0.0,0.0,0.0,,,4.0,3.0,0.0689997527823456,0.028601502788318762,0.23706724834557782,0.2604166666666667,0.0,0.0
