product_id,product_name,category,segment,size,color,units,orders,revenue,gross_margin,discount_amount,gross_before_discount,promo_revenue,promo_units,return_qty,refund_amount,return_orders,first_return,last_return,avg_rating,n_reviews,gross_margin_rate,discount_rate,promo_revenue_share,promo_unit_share,return_rate_qty,refund_share
794,HanoiStreet RP-82,Outdoor,Activewear,L,white,20426,4567,18646755.61,-1005477.8082368046,1657735.15,20304490.76,9514088.91,11407,695.0,591922.39,248.0,2013-11-10,2022-12-07,3.9554317548746516,718.0,-0.05392239965313755,0.0816437688388497,0.5102275757235605,0.5584549104083032,0.034025261921080976,0.03174398819720468
793,HanoiStreet RP-81,Outdoor,Activewear,M,blue,20531,4597,18772388.06,5560578.821080586,1650980.73,20423368.79,9509973.1,11386,623.0,528106.15,230.0,2014-01-06,2022-10-05,3.9192634560906514,706.0,0.29621051958376077,0.08083782587368145,0.5065936773523102,0.5545760070137841,0.03034435731333106,0.028132070800586256
781,HanoiStreet RP-69,Outdoor,Activewear,M,black,13984,3134,16138062.29,4317349.397635949,1378213.12,17516275.41,7963498.58,7571,572.0,612903.26,181.0,2013-12-15,2022-09-29,3.955252918287938,514.0,0.26752588508170577,0.0786818594558739,0.49346064210785745,0.5414044622425629,0.040903890160183067,0.037978739267835605
782,HanoiStreet RP-70,Outdoor,Activewear,L,orange,14019,3109,16190978.32,1249452.9964462304,1379617.21,17570595.53,7981178.3,7578,513.0,547204.28,176.0,2013-12-01,2022-10-05,3.9691358024691357,486.0,0.07716970350722022,0.07851852304291247,0.492939842315841,0.5405521078536272,0.036593194949711104,0.03379686323982429
791,HanoiStreet RP-79,Outdoor,Activewear,XL,black,45986,10139,33999756.29,7099591.065864786,2728890.71,36728647.0,15970631.94,23784,1577.0,1074580.85,582.0,2013-10-26,2022-11-27,3.953042328042328,1512.0,0.20881299869649111,0.07429869959544112,0.4697278358050254,0.5172008872265472,0.03429304570956378,0.031605545664339235
2224,VietMotion RP-21,Outdoor,Activewear,S,white,15349,3428,10745038.2,3941728.126185188,856357.19,11601395.39,5042276.87,7924,572.0,372036.49,211.0,2015-08-28,2022-11-08,4.003802281368821,526.0,0.36684170431196683,0.07381501631589507,0.4692656067058003,0.5162551306274025,0.03726627141833344,0.03462402674380441
792,HanoiStreet RP-80,Outdoor,Activewear,S,orange,45726,10160,33817877.49,4129556.6066374704,2702745.49,36520622.98,15857484.75,23603,1732.0,1198785.24,619.0,2013-10-16,2022-12-30,3.907268170426065,1596.0,0.12211164369669819,0.07400600727649473,0.46890833863506315,0.5161833530157897,0.03787779381533482,0.03544826964242456
2225,VietMotion RP-22,Outdoor,Activewear,M,purple,15373,3392,10774344.43,3935597.1023558644,845197.4,11619541.83,4972916.67,7819,540.0,353173.67,191.0,2015-09-05,2022-12-23,3.9283018867924526,530.0,0.3652748552754281,0.07273930524677151,0.46155167048061413,0.5086190073505497,0.035126520522994864,0.032779133087357595
778,HanoiStreet RP-66,Outdoor,Activewear,L,pink,14597,3256,19719021.86,2577644.8152760738,1524599.45,21243621.31,8997412.61,7340,512.0,651513.02,187.0,2013-12-14,2022-12-29,4.022887323943662,568.0,0.1307186955609001,0.07176739915253177,0.456280878122623,0.5028430499417689,0.035075700486401316,0.03303982442058107
777,HanoiStreet RP-65,Outdoor,Activewear,M,silver,14508,3248,19584440.58,-779198.6156889476,1522014.85,21106455.43,8935571.07,7307,500.0,631351.15,192.0,2013-12-19,2022-12-24,3.9127134724857684,527.0,-0.03978661593656548,0.07211134314086011,0.4562586831877738,0.5036531568789633,0.034463744141163495,0.0322373849495986
2212,VietMotion RP-09,Outdoor,Activewear,S,orange,12086,2674,11894117.45,1566422.0631598448,908596.77,12802714.22,5372767.34,6029,375.0,345223.71,141.0,2013-01-23,2018-08-05,3.936768149882904,427.0,0.13169720828339768,0.07096907377504517,0.4517163515986636,0.4988416349495284,0.031027635280489824,0.02902474365594902
2238,VietMotion RP-35,Outdoor,Activewear,L,pink,7568,1699,10730021.42,4323913.158638203,800468.49,11530489.91,4776880.69,3715,271.0,354207.96,98.0,2013-04-09,2020-08-02,3.933579335793358,271.0,0.4029733948693462,0.06942189761649079,0.44518836477774715,0.4908826638477801,0.03580866807610994,0.03301092757744001
2239,VietMotion RP-36,Outdoor,Activewear,XL,yellow,7548,1689,10692957.64,1445861.2364417086,802856.45,11495814.09,4711507.36,3676,276.0,364568.86,94.0,2013-04-12,2020-12-30,4.014705882352941,272.0,0.13521621286827698,0.06983902520643494,0.4406177896352351,0.48701642819289875,0.03656597774244833,0.03409429572938998
2213,VietMotion RP-10,Outdoor,Activewear,M,blue,11969,2684,11803828.81,2782781.6340960963,880749.69,12684578.5,5195468.9,5829,363.0,332317.1,125.0,2013-01-12,2019-12-20,3.8866995073891624,406.0,0.23575245616393314,0.06943468322577687,0.440151156343312,0.48700810426936253,0.030328348232935082,0.028153331037677084
1982,UrbanVN RS-01,Outdoor,Premium,L,orange,4693,1067,17370796.59,466737.3027528072,1111963.4,18482759.99,7152468.15,2129,159.0,554033.83,54.0,2013-12-26,2022-11-08,3.9216867469879517,166.0,0.026869078820570498,0.06016219442343145,0.4117524555044024,0.4536543788621351,0.03388024717664607,0.03189455515925767
