product_id,product_name,category,segment,size,color,units,orders,revenue,gross_margin,discount_amount,gross_before_discount,promo_revenue,promo_units,return_qty,refund_amount,return_orders,first_return,last_return,avg_rating,n_reviews,gross_margin_rate,discount_rate,promo_revenue_share,promo_unit_share,return_rate_qty,refund_share,risk_score
1937,UrbanVN RP-12,Outdoor,Activewear,M,silver,1704,382,5535019.84,-35425.89292307877,273916.69,5808936.53,1854146.3,634,104.0,316125.73,30.0,2012-08-17,2018-05-22,3.9107142857142856,56.0,-0.006400319049819118,0.047154360972162315,0.33498458065147607,0.3720657276995305,0.06103286384976526,0.05711374830410725,0.07573551286408851
2241,VietMotion RP-38,Outdoor,Activewear,M,black,2023,443,2111053.84,851439.695615735,49839.31,2160893.15,326915.63,360,112.0,106518.77,39.0,2012-08-02,2020-06-17,3.8783783783783785,74.0,0.40332448158486334,0.023064217682396745,0.1548589731846915,0.17795353435491842,0.05536332179930796,0.050457628309470315,0.07103299867935017
2058,UrbanVN UE-18,Streetwear,Performance,L,pink,5863,1288,17828904.41,7858911.569953791,726122.54,18555026.95,5407167.9,2052,307.0,844742.96,104.0,2014-04-16,2021-08-11,3.9045226130653266,199.0,0.44079610217360465,0.039133467278526374,0.30328099672614717,0.3499914719426915,0.052362271874466994,0.04738053110690271,0.0677901572338227
1496,VietMode RP-88,Outdoor,Activewear,S,green,1772,400,7771481.03,2779235.753794207,366026.25,8137507.28,2647167.97,665,92.0,371073.45,30.0,2015-08-20,2022-04-13,3.9482758620689653,58.0,0.35761983373125555,0.04498014409149628,0.3406259321461665,0.3752821670428894,0.05191873589164785,0.047748099566550704,0.0667186859798295
2412,VietMotion YY-21,GenZ,Trendy,S,orange,4701,1062,5502960.28,1570434.8659107613,243276.59,5746236.87,1558775.82,1503,236.0,258322.15,73.0,2015-11-15,2022-09-19,3.981818181818182,165.0,0.2853800111220794,0.04233667972688358,0.2832613249390926,0.31971920867900444,0.050202084662837695,0.046942397701623964,0.06473059081988686
1819,SaigonCore YY-14,GenZ,Trendy,XL,yellow,2194,500,6617416.76,1235513.4691203202,259651.91,6877068.67,1724608.62,646,108.0,293509.55,36.0,2014-04-14,2021-06-02,3.808988764044944,89.0,0.1867063106238937,0.03775618980404917,0.260616594442814,0.2944393801276208,0.049225159525979945,0.04435409777636553,0.06690510285507947
2074,UrbanVN UC-09,Streetwear,Everyday,L,white,2049,464,7725388.4,1672257.3191359995,271307.0,7996695.4,2156782.54,668,98.0,338608.58,33.0,2012-08-03,2015-09-27,3.9101123595505616,89.0,0.21646255599731393,0.03392738955644103,0.27918111405246626,0.3260126891166423,0.04782820888238165,0.0438306221600457,0.06384374412254827
589,SaigonFlex UC-54,Streetwear,Everyday,M,yellow,2164,467,20487497.28,4797976.4276494365,959138.18,21446635.46,7316731.16,873,103.0,922941.79,31.0,2021-08-12,2022-11-05,3.942857142857143,70.0,0.2341904607515553,0.04472208154928932,0.35713152563259304,0.4034195933456562,0.047597042513863215,0.04504902562700914,0.06334319118362053
1454,VietMode RP-46,Outdoor,Activewear,L,white,1746,378,8115810.14,-78375.85213217231,497641.91,8613452.05,3178368.95,757,83.0,367731.95,21.0,2014-11-22,2017-06-29,3.9649122807017543,57.0,-0.009657181572777935,0.05777496723859976,0.3916268240843791,0.43356242840778925,0.04753722794959908,0.04531056587777693,0.06292859402264855
945,HanoiStreet UC-08,Streetwear,Everyday,M,purple,3426,750,26220259.01,-602981.41475295,1033256.33,27253515.34,8012501.48,1218,159.0,1091178.21,53.0,2019-05-31,2022-11-06,4.048076923076923,104.0,-0.022996775681086223,0.03791277261335491,0.3055843756899639,0.3555166374781086,0.046409807355516634,0.04161584405340319,0.05960879733289815
2389,VietMotion UC-37,Streetwear,Everyday,M,yellow,3493,787,32674706.41,690967.5403202914,1508298.96,34183005.37,11196907.16,1385,160.0,1405945.95,59.0,2016-01-12,2022-05-30,3.635593220338983,118.0,0.021146863009267096,0.04412423494289145,0.34267812599452213,0.39650730031491555,0.045805897509304326,0.04302857177531408,0.06781911191809667
1936,UrbanVN RP-11,Outdoor,Activewear,S,green,1813,392,5887657.23,1353989.2022690526,287014.86,6174672.09,1930807.36,661,82.0,244925.88,28.0,2012-08-14,2018-05-17,3.873015873015873,63.0,0.22997079302951415,0.04648260762945227,0.3279415367731929,0.36458907887479314,0.04522890237175951,0.04159988777064048,0.06233844102398634
606,SaigonFlex UC-71,Streetwear,Everyday,L,green,2946,649,10903892.06,438354.70174039144,330376.93,11234268.99,2948249.3,975,133.0,468653.09,47.0,2012-07-24,2014-01-07,3.79,100.0,0.040201672882333304,0.029407959725201487,0.27038504084384707,0.33095723014256617,0.045145960624575696,0.04298034934876272,0.06428996174316488
572,SaigonFlex UC-37,Streetwear,Everyday,S,orange,4679,1049,23747813.07,-380697.87235074845,1083408.18,24831221.25,7674042.7,1716,211.0,991857.95,75.0,2013-10-18,2018-05-18,3.8666666666666667,150.0,-0.016030860240839367,0.043630885855040255,0.32314734318396754,0.36674503098952765,0.045095105791835864,0.04176628589236238,0.06242005690445057
1518,VietMode RP-10,Outdoor,Activewear,L,pink,4004,898,8774986.2,73236.62473878285,425640.06,9200626.26,2805053.35,1427,180.0,369152.59,55.0,2012-11-23,2022-08-03,4.066225165562914,151.0,0.008346067226724853,0.046262074773157885,0.3196647021507567,0.3563936063936064,0.04495504495504495,0.0420687373844531,0.058413460255634216
