product_id,product_name,category,segment,peak_month,peak_season_index,revenue_total,gross_margin_total,peak_avg_stock_on_hand,peak_avg_stockout_days,peak_avg_fill_rate,peak_avg_days_supply,peak_stockout_rate,peak_overstock_rate,peak_avg_sell_through,prev_month,prev_avg_stock_on_hand,prev_avg_stockout_days,prev_avg_fill_rate,prev_avg_days_supply,prev_stockout_rate,prev_overstock_rate,prev_avg_sell_through,inventory_risk_score
1,DragonWear MA-01,Casual,All-weather,12,1.0,31302.32,9439.2536,3.0,1.0,0.9667,90.0,1.0,0.0,0.25,11,3.0,1.0,0.9667,90.0,1.0,0.0,0.25,3.9979999999999993
3,DragonWear MA-03,Casual,All-weather,6,1.4647908629491257,26410895.52,-177969.20224510648,91.57142857142857,1.1428571428571428,0.9619,221.79999999999998,0.7142857142857143,1.0,0.1328,5,89.71428571428571,1.0,0.9666571428571429,301.0142857142857,0.5714285714285714,1.0,0.12471428571428571,4.286142857142857
4,DragonWear MA-04,Casual,All-weather,8,1.689989526407295,6838217.03,2719253.4160478255,34.333333333333336,1.0,0.9666666666666667,115.36666666666667,0.6666666666666666,0.3333333333333333,0.25743333333333335,7,35.75,1.25,0.958325,458.575,0.75,1.0,0.1432,4.50025
5,DragonWear MA-05,Casual,All-weather,3,1.0,7673.59,-825.1099999999988,3.0,2.0,0.9333,90.0,1.0,0.0,0.25,2,3.0,1.0,0.9667,90.0,1.0,0.0,0.25,5.999999999999999
7,DragonWear MA-07,Casual,All-weather,4,2.293073372919748,474795.88,139072.56465125,3.0,1.0,0.9667,26.25,1.0,0.0,0.5357000000000001,3,3.0,1.0,0.96665,37.5,0.5,0.0,0.45,3.9994999999999994
8,DragonWear MA-08,Casual,All-weather,5,2.1332519676121064,12013511.16,3199966.3670093766,64.66666666666667,1.4444444444444444,0.9518444444444444,402.68888888888887,0.8888888888888888,0.7777777777777778,0.15603333333333336,4,68.5,0.75,0.9750125,436.4375,0.625,0.625,0.165775,4.388736111111115
9,DragonWear MA-09,Casual,All-weather,9,1.7119490764226144,10374686.68,1291590.4651937494,55.6,0.8,0.97334,276.5,0.6,0.6,0.20214,8,53.8,0.6,0.98002,217.28000000000003,0.6,1.0,0.13586,2.799200000000001
10,DragonWear MA-10,Casual,All-weather,2,2.6955905121132444,514630.51,9287.035000000098,4.0,3.0,0.9,20.0,1.0,0.0,0.6,1,3.0,0.0,1.0,45.0,0.0,0.0,0.4,5.999999999999999
12,DragonWear MA-12,Casual,All-weather,9,2.292463964780886,431470.25,94537.85861913042,3.0,1.5,0.95,56.25,1.0,0.0,0.4107,8,3.0,1.5,0.95,90.0,1.0,0.0,0.25,6.0000000000000036
13,DragonWear MA-13,Casual,All-weather,4,2.1084309655965727,1131972.1199999999,204755.87196000002,4.25,2.0,0.933325,68.75,1.0,0.25,0.35475,3,4.0,1.0,0.9666666666666667,86.66666666666667,0.6666666666666666,0.3333333333333333,0.27499999999999997,6.000250000000001
