product_id,product_name,category,segment,size,color,units,orders,revenue,gross_margin,discount_amount,gross_before_discount,promo_revenue,promo_units,return_qty,refund_amount,return_orders,first_return,last_return,avg_rating,n_reviews,gross_margin_rate,discount_rate,promo_revenue_share,promo_unit_share,return_rate_qty,refund_share,avg_stock_on_hand,avg_days_supply,avg_sell_through,overstock_rate,overstock_score,brand
794,HanoiStreet RP-82,Outdoor,Activewear,L,white,20426,4567,18646755.61,-1005477.8082368046,1657735.15,20304490.76,9514088.91,11407,695.0,591922.39,248.0,2013-11-10,2022-12-07,3.9554317548746516,718.0,-0.05392239965313755,0.0816437688388497,0.5102275757235605,0.5584549104083032,0.034025261921080976,0.03174398819720468,810.209090909091,1573.2927272727275,0.09826,0.8818181818181818,644.254552061157,HanoiStreet
777,HanoiStreet RP-65,Outdoor,Activewear,M,silver,14508,3248,19584440.58,-779198.6156889476,1522014.85,21106455.43,8935571.07,7307,500.0,631351.15,192.0,2013-12-19,2022-12-24,3.9127134724857684,527.0,-0.03978661593656548,0.07211134314086011,0.4562586831877738,0.5036531568789633,0.034463744141163495,0.0322373849495986,513.6396396396397,1075.3576576576577,0.11966846846846847,0.8288288288288288,374.774159432186,HanoiStreet
762,HanoiStreet RP-50,Outdoor,Activewear,L,orange,19451,4294,40320064.81,-713128.5243292889,2371334.26,42691399.07,15248094.53,8160,701.0,1341401.96,237.0,2012-12-31,2022-08-11,3.903597122302158,695.0,-0.017686690923979415,0.055545948637377364,0.37817633979145376,0.41951570613336076,0.036039278186211506,0.03326884434142356,910.5573770491803,2339.5303278688525,0.07164016393442622,0.9344262295081968,789.8937564800578,HanoiStreet
761,HanoiStreet RP-49,Outdoor,Activewear,M,black,19343,4283,40121722.14,-683637.9271395525,2365922.88,42487645.02,15314085.34,8171,716.0,1366762.35,247.0,2012-12-29,2022-12-30,3.8823529411764706,714.0,-0.017039097293831976,0.05568496156674018,0.3816906284970349,0.42242671767564494,0.03701597477123507,0.03406539592769335,888.5655737704918,2295.1442622950817,0.07222213114754097,0.9344262295081968,770.3330170328134,HanoiStreet
745,HanoiStreet RP-33,Outdoor,Activewear,M,purple,1969,409,4850454.73,-97842.12350000037,295302.02,5145756.75,1838907.92,830,61.0,138509.36000000002,24.0,2016-09-29,2019-08-07,3.8026315789473686,76.0,-0.020171742433724427,0.05738748144284123,0.3791207262746682,0.4215337734890808,0.030980192991366177,0.028555953556956504,181.2,1891.2020000000002,0.0582,0.96,163.82799359999996,HanoiStreet
716,HanoiStreet RP-04,Outdoor,Activewear,S,green,3064,676,5357243.79,-44124.94866054996,278289.2,5635532.99,1771201.05,1132,130.0,208190.38999999998,40.0,2012-11-28,2017-11-11,4.027522935779817,109.0,-0.008236501901017643,0.049381167760673514,0.3306179668930094,0.36945169712793735,0.04242819843342036,0.03886147395207489,216.46753246753246,1965.0454545454545,0.05589220779220779,1.0,204.36868416259065,HanoiStreet
813,HanoiStreet RS-17,Outdoor,Premium,M,blue,111,23,360004.57,-5313.246499999992,23621.23,383625.8,163700.05000000002,55,1.0,3262.97,1.0,2015-11-21,2015-11-21,3.0,1.0,-0.014758830700399142,0.06157362200352531,0.45471658873663745,0.4954954954954955,0.009009009009009009,0.009063690497040078,6.0,159.6,0.17098400000000002,0.8,3.9792768000000005,HanoiStreet
811,HanoiStreet RS-15,Outdoor,Premium,XL,black,20,5,58858.06,-979.9700000000093,3783.67,62641.73,20473.5,8,0.0,0.0,0.0,,,,,-0.016649716283547392,0.06040174816372408,0.34784530784738743,0.4,0.0,0.0,3.0,90.0,0.25,0.0,0.0,HanoiStreet
789,HanoiStreet RP-77,Outdoor,Activewear,M,yellow,1619,359,4103797.88,-861.1691829996389,230040.28,4333838.16,1487501.46,652,32.0,75525.39,15.0,2017-09-09,2021-03-28,3.757142857142857,70.0,-0.00020984688042181038,0.05308003471915527,0.3624694742519824,0.40271772699197034,0.019765287214329835,0.01840377918417366,104.0952380952381,841.847619047619,0.10846904761904762,0.8809523809523809,81.75601642911134,HanoiStreet
727,HanoiStreet RP-15,Outdoor,Activewear,XL,silver,12,2,8596.21,422.6577879999991,888.34,9484.55,4441.71,7,0.0,0.0,0.0,,,,,0.04916792260775378,0.09366179734410174,0.5167056179409298,0.5833333333333334,0.0,0.0,3.0,90.0,0.25,0.0,0.0,HanoiStreet
