cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12
Jan,1.0,0.049296,0.06013,0.089382,0.06961,0.076111,0.069881,0.065818,0.05065,0.038462,0.043337,0.068527,0.041712
Feb,1.0,0.058491,0.079268,0.075881,0.072042,0.063686,0.059395,0.051942,0.04178,0.036585,0.056233,0.035005,0.037489
Mar,1.0,0.078689,0.065984,0.062705,0.056694,0.054918,0.045492,0.034153,0.031011,0.042213,0.024317,0.035792,0.054918
Apr,1.0,0.068251,0.061626,0.056788,0.053528,0.039962,0.032496,0.026922,0.040172,0.024188,0.029341,0.049217,0.065412
May,1.0,0.0597,0.049342,0.048877,0.035261,0.030839,0.024438,0.038054,0.020947,0.026999,0.043757,0.059467,0.060282
Jun,1.0,0.043367,0.047461,0.030319,0.025201,0.022131,0.033261,0.019445,0.023155,0.04439,0.056543,0.056927,0.051682
Jul,1.0,0.07879,0.066236,0.049279,0.048623,0.071763,0.043751,0.050122,0.077572,0.100712,0.095559,0.094154,0.083005
Aug,1.0,0.06384,0.051351,0.049674,0.06794,0.043896,0.051351,0.070177,0.097297,0.093569,0.09068,0.076048,0.084436
Sep,1.0,0.057781,0.046414,0.066576,0.04452,0.046279,0.066982,0.099053,0.089445,0.090257,0.079432,0.08728,0.062382
Oct,1.0,0.048684,0.06712,0.047611,0.053875,0.070879,0.090388,0.084124,0.089135,0.073206,0.073564,0.068373,0.049579
Nov,1.0,0.070986,0.037845,0.04768,0.064785,0.081035,0.08018,0.07462,0.071413,0.073551,0.057516,0.047253,0.046611
Dec,1.0,0.036783,0.043519,0.061035,0.078685,0.081784,0.073835,0.066694,0.066963,0.053085,0.049043,0.041633,0.064538
