term,gain_importance,label,feature_group,gain_share
numeric__signup_to_first_order_days,0.111061126,Signup to first order days,Conversion speed,0.111061126
categorical__first_order_month_Aug,0.07009757,First order month: Aug,Context/timing,0.07009757
categorical__first_order_city_Cam Pha,0.057914723,First order city: Cam Pha,Context/timing,0.057914723
categorical__region_West,0.057202414,Region: West,Context/timing,0.057202414
categorical__is_promo_first_order_No,0.053382568,Promo on first order: No,First basket economics,0.053382568
categorical__first_order_month_Dec,0.048653364,First order month: Dec,Context/timing,0.048653364
categorical__region_Central,0.039226446,Region: Central,Context/timing,0.039226446
categorical__first_order_month_Sep,0.03655925,First order month: Sep,Context/timing,0.03655925
categorical__first_product_price_band_High,0.035980187,First product price band: High,Product intent,0.035980187
categorical__first_order_month_Jul,0.030650834,First order month: Jul,Context/timing,0.030650834
categorical__first_order_month_May,0.024487127,First order month: May,Context/timing,0.024487127
categorical__first_order_month_Jun,0.022052253,First order month: Jun,Context/timing,0.022052253
numeric__first_order_discount_rate,0.020346588,First order discount rate,First basket economics,0.020346588
categorical__first_order_source_organic_search,0.016737917,First order source: organic_search,Acquisition/channel,0.016737917
categorical__is_promo_first_order_Yes,0.014913604,Promo on first order: Yes,First basket economics,0.014913604
categorical__first_order_month_Feb,0.012052209,First order month: Feb,Context/timing,0.012052209
categorical__first_product_segment_Everyday,0.012012003,First product segment: Everyday,Product intent,0.012012003
categorical__first_product_segment_Premium,0.010972466,First product segment: Premium,Product intent,0.010972466
numeric__first_order_profit,0.010699749,First order profit,First basket economics,0.010699749
numeric__first_product_unit_price,0.0106536355,First product unit price,Product intent,0.0106536355
categorical__first_order_month_Apr,0.010511338,First order month: Apr,Context/timing,0.010511338
categorical__first_product_segment_Performance,0.009652778,First product segment: Performance,Product intent,0.009652778
numeric__first_product_cogs,0.009650734,First product COGS,Product intent,0.009650734
categorical__first_product_category_Casual,0.008530777,First product category: Casual,Product intent,0.008530777
categorical__first_product_segment_Standard,0.008311368,First product segment: Standard,Product intent,0.008311368
categorical__first_product_category_Streetwear,0.007815588,First product category: Streetwear,Product intent,0.007815588
categorical__first_product_category_Outdoor,0.0077758427,First product category: Outdoor,Product intent,0.0077758427
numeric__first_order_item_count,0.0063855643,First order item count,First basket economics,0.0063855643
categorical__first_payment_method_credit_card,0.0063008824,Payment method: credit_card,Context/timing,0.0063008824
numeric__first_order_margin,0.005898018,First order margin,First basket economics,0.005898018
categorical__first_product_segment_Balanced,0.005795714,First product segment: Balanced,Product intent,0.005795714
categorical__region_East,0.0057595246,Region: East,Context/timing,0.0057595246
categorical__first_product_price_band_Low,0.0056994585,First product price band: Low,Product intent,0.0056994585
categorical__first_product_category_GenZ,0.00539183,First product category: GenZ,Product intent,0.00539183
numeric__first_order_value,0.004828922,First order value,First basket economics,0.004828922
categorical__first_order_city_infrequent_sklearn,0.0044521685,First order city: infrequent_sklearn,Context/timing,0.0044521685
