Target,Model,MAE,RMSE,R2
COGS,Lasso,1904689.4155,2134175.8801,-1.4692
COGS,Linear Regression,1941168.1483,2175150.8029,-1.5667
COGS,Random Forest,537489.4742,747194.0792,0.6973
COGS,Ridge,1928554.9882,2159968.1209,-1.5295
COGS,XGBoost,487974.6813,683594.5061,0.7467
Revenue,Lasso,2199748.968,2485186.0103,-1.559
Revenue,Linear Regression,2284131.6579,2572668.4245,-1.7375
Revenue,Random Forest,630742.2858,885854.9547,0.6752
Revenue,Ridge,2257928.8078,2547401.5386,-1.6874
Revenue,XGBoost,576791.6793,821306.196,0.721
