target,feature,group,shap_mean_abs,gain_total,shap_pct,gain_pct
Revenue,forecast_year,calendar_seasonality,0.152877,36134.6356,16.31,3.64
Revenue,Revenue_doy_mean_cutoff,calendar_seasonality,0.129546,64615.2723,13.82,6.50
Revenue,Revenue_forecast_lag730_known,target_lag,0.122231,78706.1369,13.04,7.92
Revenue,Revenue_doy_to_recent,calendar_seasonality,0.076000,38256.7241,8.11,3.85
Revenue,Revenue_anchor_2y_ratio730,target_lag,0.041990,10452.8409,4.48,1.05
Revenue,Revenue_month_dow_mean_cutoff,calendar_seasonality,0.029544,19899.8584,3.15,2.00
Revenue,day,calendar_seasonality,0.027217,19522.3229,2.90,1.96
Revenue,hol_days_since_womens_day_mar8,holiday_event,0.019436,5558.1363,2.07,0.56
Revenue,Revenue_doy_median_cutoff,calendar_seasonality,0.019065,21169.3290,2.03,2.13
Revenue,sin_week_1,calendar_seasonality,0.016760,30118.0118,1.79,3.03
Revenue,cos_week_1,calendar_seasonality,0.016430,26443.8732,1.75,2.66
Revenue,dow,calendar_seasonality,0.013208,5023.2025,1.41,0.51
Revenue,hol_days_since_teachers_day,holiday_event,0.012029,3563.5807,1.28,0.36
Revenue,cutoff_year,regime_level,0.011080,3517.5632,1.18,0.35
Revenue,Revenue_forecast_lag365_known,target_lag,0.011033,22463.8289,1.18,2.26
Revenue,Revenue_forecast_lag364_known,target_lag,0.010889,24502.3335,1.16,2.47
Revenue,hol_days_since_singles_day_1111,holiday_event,0.010174,2944.0429,1.09,0.30
Revenue,Revenue_forecast_lag728_known,target_lag,0.009497,33512.1100,1.01,3.37
Revenue,hol_days_to_valentine,holiday_event,0.008516,2779.4972,0.91,0.28
Revenue,Revenue_forecast_lag548_known,target_lag,0.007277,31805.8029,0.78,3.20
Revenue,sin_week_2,calendar_seasonality,0.007246,24381.4922,0.77,2.45
Revenue,cos_year_6,calendar_seasonality,0.006822,15080.3954,0.73,1.52
Revenue,Revenue_month_mean_cutoff,calendar_seasonality,0.005240,8328.2389,0.56,0.84
Revenue,sin_year_8,calendar_seasonality,0.005224,18760.4600,0.56,1.89
Revenue,Revenue_anchor_roll_median365,anchor_level,0.005127,1512.6360,0.55,0.15
Revenue,cos_week_3,calendar_seasonality,0.004975,23626.2360,0.53,2.38
Revenue,Revenue_anchor_yoy_ratio365,target_lag,0.004955,3584.6403,0.53,0.36
Revenue,Revenue_pre_break_mean_cutoff,regime_level,0.004944,1626.7951,0.53,0.16
Revenue,hol_days_to_national_day,holiday_event,0.004834,4189.9795,0.52,0.42
Revenue,sin_year_6,calendar_seasonality,0.004810,19174.6206,0.51,1.93
Revenue,sin_week_3,calendar_seasonality,0.004607,25547.3923,0.49,2.57
Revenue,Revenue_forecast_lag371_known,target_lag,0.004424,22101.4848,0.47,2.22
Revenue,sin_year_1,calendar_seasonality,0.004414,6232.9876,0.47,0.63
