target,fold,model,mae,rmse,r2
Revenue,fold_2020_2021,model,674036.3809737827,938138.4069560048,0.6358103673635426
Revenue,fold_2020_2021,seasonal,826910.0599270074,1191580.8022511571,0.41245553200587715
Revenue,fold_2020_2021,doy,699267.798048917,956291.5357175084,0.6215797486083771
Revenue,fold_2021_2022,model,652067.6631507474,887807.0040967925,0.674222907945534
Revenue,fold_2021_2022,seasonal,830325.3368795621,1246150.3033150758,0.35816371782800027
Revenue,fold_2021_2022,doy,665890.279723236,910510.1405933414,0.6573482276512062
COGS,fold_2020_2021,model,571026.750959947,793708.610304707,0.651882472385445
COGS,fold_2020_2021,seasonal,753014.9265145985,1120289.05362297,0.30647217171243
COGS,fold_2020_2021,doy,602855.957890864,836926.828780374,0.612939648150488
COGS,fold_2021_2022,model,578896.4655523028,789855.3025144051,0.6681483457294328
COGS,fold_2021_2022,seasonal,704070.3903649636,1045773.7444410735,0.41826609143969495
COGS,fold_2021_2022,doy,585703.3111861313,799746.5502919778,0.659784840123752
Revenue,fold_2020_2021,cv_weighted_ensemble,632836.4528332468,886654.1703290079,0.6746863634477959
Revenue,fold_2021_2022,cv_weighted_ensemble,630715.2256572781,871469.8423647583,0.6861022996838131
COGS,fold_2020_2021,cv_weighted_ensemble,547419.0431915598,763531.4759983788,0.6778503991481376
COGS,fold_2021_2022,cv_weighted_ensemble,547381.6876638902,754236.3903197206,0.697403517290254
