target,fold_cutoff,model,mae,rmse,r2
Revenue,2020-06-30,lgb,528580.7853251324,800948.2611945024,0.7345378104840231
Revenue,2020-06-30,ridge,2479777.207244617,2876757.7600929732,-2.424524935732086
Revenue,2020-06-30,doy_prior,1517741.7917837591,1833965.4183280193,-0.3917974319340751
Revenue,2020-12-31,lgb,601202.4851572997,861855.4936129497,0.7611747347764695
Revenue,2020-12-31,ridge,2849043.9833615376,3274444.742320363,-2.4473604279387793
Revenue,2020-12-31,doy_prior,1305268.0981067517,1684277.8401029208,0.08790761538319014
Revenue,2021-07-01,lgb,441182.1067605597,664637.8063052263,0.8168454760578832
Revenue,2021-07-01,ridge,677452.7389776183,961441.6876551145,0.616740026343152
Revenue,2021-07-01,doy_prior,899249.6624589417,1195172.8106584377,0.40774467144543014
Revenue,all_oof,weighted_direct,503011.7523889093,733825.3933894587,0.7993592643586229
COGS,2020-06-30,lgb,435556.5282528743,650610.7006534069,0.766091442370694
COGS,2020-06-30,ridge,1994446.3549318693,2313638.6971052187,-1.9579769552684074
COGS,2020-06-30,doy_prior,1290189.6079379565,1557013.494447433,-0.3396410910805121
COGS,2020-12-31,lgb,535902.0699803861,761583.2384794351,0.7567603311364732
COGS,2020-12-31,ridge,2262263.0895203752,2610749.2937797317,-1.8584459692234057
COGS,2020-12-31,doy_prior,1027204.7305565692,1338314.319767119,0.248868632089858
COGS,2021-07-01,lgb,386234.8723599252,566306.6310470738,0.8284570712875039
COGS,2021-07-01,ridge,544512.787171059,744370.1049934302,0.7036210382330284
COGS,2021-07-01,doy_prior,756748.3719206204,1009937.4557186606,0.45441994526100493
COGS,all_oof,weighted_direct,441594.53028025513,633896.7034434204,0.8038031180833064
