target,feature,gain,group
Revenue,Revenue_forecast_lag730_known,78706.13693881035,target_lag
Revenue,Revenue_doy_mean_cutoff,64615.27233529091,calendar_seasonality
Revenue,Revenue_doy_to_recent,38256.724112033844,calendar_seasonality
Revenue,forecast_year,36134.635639190674,calendar_seasonality
Revenue,Revenue_forecast_lag728_known,33512.11000776291,target_lag
Revenue,Revenue_forecast_lag548_known,31805.80290913582,target_lag
Revenue,sin_week_1,30118.011774539948,calendar_seasonality
Revenue,cos_week_1,26443.873214244843,calendar_seasonality
Revenue,sin_week_3,25547.392330408096,calendar_seasonality
Revenue,Revenue_forecast_lag364_known,24502.333499908447,target_lag
Revenue,sin_week_2,24381.492248535156,calendar_seasonality
Revenue,cos_week_3,23626.23602795601,calendar_seasonality
Revenue,Revenue_forecast_lag365_known,22463.82885980606,target_lag
Revenue,Revenue_forecast_lag371_known,22101.484757900238,target_lag
Revenue,Revenue_doy_median_cutoff,21169.328961610794,calendar_seasonality
Revenue,Revenue_month_dow_mean_cutoff,19899.858444213867,calendar_seasonality
Revenue,day,19522.322880268097,calendar_seasonality
Revenue,sin_year_6,19174.62060523033,calendar_seasonality
Revenue,sin_year_8,18760.45999979973,calendar_seasonality
Revenue,cos_week_2,16069.552396774292,calendar_seasonality
Revenue,sin_year_7,15894.760321855545,calendar_seasonality
Revenue,cos_year_7,15667.893991470337,calendar_seasonality
Revenue,cos_year_6,15080.395408153534,calendar_seasonality
Revenue,sin_year_5,15058.814653873444,calendar_seasonality
Revenue,Revenue_dow_mean_cutoff,14788.125036478043,calendar_seasonality
Revenue,cos_year_5,13979.616397857666,calendar_seasonality
Revenue,cos_year_8,12754.904660224915,calendar_seasonality
Revenue,Revenue_forecast_lag182_known,12529.582516431808,target_lag
Revenue,sin_year_3,11561.754538536072,calendar_seasonality
Revenue,sin_year_4,11527.986949443817,calendar_seasonality
Revenue,Revenue_anchor_2y_ratio730,10452.840924739838,target_lag
Revenue,cos_year_4,10291.64526462555,calendar_seasonality
Revenue,cos_year_3,9774.515715837479,calendar_seasonality
Revenue,vn_days_to_mid_autumn,9627.002781391144,holiday_event
Revenue,vn_days_to_hung_kings,8584.335225582123,holiday_event
Revenue,hol_days_since_mid_autumn_15_8_lunar,8555.147179603577,holiday_event
Revenue,Revenue_month_mean_cutoff,8328.238890171051,calendar_seasonality
Revenue,vn_days_to_tet,8185.9750809669495,holiday_event
Revenue,sin_year_2,7965.001317977905,calendar_seasonality
Revenue,Revenue_month_to_recent,7354.034559726715,calendar_seasonality
Revenue,cos_year_2,7330.6374979019165,calendar_seasonality
Revenue,vn_days_since_hung_kings,7159.464191436768,holiday_event
Revenue,vn_days_since_tet,7059.785498142242,holiday_event
Revenue,sin_year_1,6232.987609386444,calendar_seasonality
Revenue,horizon,6197.902112483978,horizon
Revenue,hol_days_since_womens_day_mar8,5558.136326313019,holiday_event
Revenue,cos_year_1,5254.619213342667,calendar_seasonality
Revenue,dow,5023.202520370483,calendar_seasonality
Revenue,Revenue_forecast_lag91_known,4804.029044628143,target_lag
Revenue,hol_days_to_national_day,4189.979498386383,holiday_event
Revenue,doy,3920.7873136997223,calendar_seasonality
Revenue,vn_days_since_black_friday,3700.355010032654,holiday_event
Revenue,Revenue_anchor_yoy_ratio365,3584.640294075012,target_lag
Revenue,hol_days_since_teachers_day,3563.5806527137756,holiday_event
Revenue,cutoff_year,3517.5632362365723,regime_level
Revenue,hol_days_to_tet_eve,3362.978624343872,holiday_event
Revenue,hol_days_since_national_day,3093.110412120819,holiday_event
Revenue,hol_days_since_singles_day_1111,2944.042901992798,holiday_event
Revenue,Revenue_forecast_lag56_known,2862.2275218963623,target_lag
Revenue,hol_days_to_valentine,2779.497217655182,holiday_event
Revenue,hol_days_since_womens_day_oct20,2751.081165790558,holiday_event
Revenue,vn_days_to_black_friday,2591.321192741394,holiday_event
Revenue,Revenue_anchor_lag548,2370.679922103882,target_lag
Revenue,hol_days_since_valentine,2366.9138643741608,holiday_event
Revenue,hol_days_since_liberation_day,2255.5851130485535,holiday_event
Revenue,hol_days_since_cyber_monday,2166.9762287139893,holiday_event
Revenue,hol_days_to_liberation_day,2050.6340837478638,holiday_event
Revenue,Revenue_recent_vs_hist,2041.2526288032532,regime_level
Revenue,vn_days_to_1212,1974.5472779273987,holiday_event
Revenue,Revenue_anchor_lag56,1953.7998723983765,target_lag
Revenue,hol_days_since_tet_eve,1914.8706393241882,holiday_event
Revenue,hol_days_to_womens_day_mar8,1869.5185565948486,holiday_event
Revenue,hol_days_to_womens_day_oct20,1822.8925924301147,holiday_event
Revenue,Revenue_anchor_lag728,1712.5768637657166,target_lag
Revenue,Revenue_anchor_roll_mean365,1641.7949256896973,anchor_level
Revenue,Revenue_pre_break_mean_cutoff,1626.7951288223267,regime_level
Revenue,Revenue_post_break_mean_cutoff,1575.2622909545898,regime_level
Revenue,week,1572.7048048973083,calendar_seasonality
Revenue,Revenue_anchor_roll_median365,1512.6359786987305,anchor_level
Revenue,cutoff_dow,1503.4857110977173,regime_level
Revenue,vn_days_to_1111,1495.965003490448,holiday_event
Revenue,hol_days_to_mid_autumn_15_8_lunar,1463.9761695861816,holiday_event
Revenue,hol_days_to_hung_kings_10_3_lunar,1395.214367866516,holiday_event
Revenue,Revenue_anchor_lag7,1352.4314315319061,target_lag
Revenue,Revenue_anchor_lag182,1328.329788684845,target_lag
Revenue,Revenue_anchor_latest,1299.6379680633545,anchor_level
Revenue,Revenue_anchor_roll_std365,1261.3459758758545,anchor_level
Revenue,hol_days_to_christmas,1258.4101541042328,holiday_event
Revenue,Revenue_anchor_roll_std7,1238.0540957450867,anchor_level
Revenue,Revenue_anchor_lag730,1218.4799809455872,target_lag
Revenue,Revenue_forecast_lag28_known,1217.1513857841492,target_lag
Revenue,hol_days_since_hung_kings_10_3_lunar,1198.889280796051,holiday_event
Revenue,hol_days_since_christmas,1139.360607624054,holiday_event
Revenue,hol_days_since_new_year,1086.12478017807,holiday_event
Revenue,hol_days_to_cyber_monday,1006.8570339679718,holiday_event
Revenue,Revenue_anchor_roll_std182,998.1597094535828,anchor_level
Revenue,Revenue_anchor_lag28,991.9392113685608,target_lag
Revenue,hol_days_to_new_year,976.3661313056946,holiday_event
Revenue,hol_days_since_double_1212,840.4818196296692,holiday_event
Revenue,hol_days_to_teachers_day,827.8873162269592,holiday_event
Revenue,Revenue_anchor_lag365,801.2630391120911,target_lag
