target,feature,gain
COGS,item_cogs_value_clim,4491420.849127691
COGS,COGS_doy_median_train,721988.6173201124
COGS,COGS_doy_mean_train,694901.8939379416
COGS,n_customers_clim,144328.45609827174
COGS,n_orders_clim,106461.02967939174
COGS,item_gross_value_clim,79053.25320301211
COGS,COGS_lag_7,69640.06257523947
COGS,COGS_month_dow_mean_train,54580.863746129595
COGS,COGS_roll_mean_56,43175.79355822545
COGS,n_zips_clim,38517.67384656974
COGS,item_unique_products_clim,29553.415783714918
COGS,item_qty_clim,28482.621890563518
COGS,dow,25230.440187820543
COGS,COGS_lag_364,24510.490385979
COGS,sin_week_1,22897.660852410107
COGS,cos_week_1,22347.02720502081
COGS,COGS_lag365_div_lag730,20847.37776316661
COGS,COGS_lag_91,20462.512369389337
COGS,COGS_roll_std_56,19360.256968088863
COGS,COGS_lag_28,18798.851160633687
COGS,inv_fill_rate_lag548,17968.662679002104
COGS,COGS_lag_14,14289.406601233408
COGS,COGS_roll_mean_91,13169.256883451095
COGS,COGS_dow_mean_train,12776.210035958638
COGS,inv_stockout_rate_lag548,12609.489945989517
COGS,COGS_roll_mean_365,12486.644207319037
COGS,ship_count_lag728,12367.777319273808
COGS,segment_premium_qty_share_lag728,11997.007950032388
COGS,day,11705.50894921811
COGS,item_cogs_value_lag365,11660.54265629997
COGS,COGS_roll_mean_7,11285.586699557387
COGS,device_tablet_share_lag365,11174.886481447766
COGS,COGS_lag_56,10842.571436780401
COGS,COGS_season_mean_7_lag364,10654.935366398759
COGS,item_size_lxl_share_lag728,10642.341112346285
COGS,source_direct_share_lag365,10545.233454120862
COGS,pay_paypal_share_lag365,10393.72067890937
COGS,days_since_start,10370.687469873992
COGS,COGS_roll_std_365,10099.478684781327
COGS,source_paid_search_share_lag365,9831.498057282426
COGS,COGS_season_mean_365_lag364,9633.680258187569
COGS,pay_credit_card_share_lag365,9234.38208315299
COGS,returned_status_share_lag365,9086.92164548114
COGS,web_pv_per_session_lag365,8354.654191368156
COGS,avg_basket_qty_lag728,8095.284065419187
COGS,device_mobile_share_lag548,7774.606641192403
COGS,item_lines_clim,7691.119759842753
COGS,sin_week_2,7666.126803365536
COGS,COGS_roll_std_182,7572.123078748144
COGS,pay_credit_card_share_lag728,7520.973117311175
COGS,inv_fill_rate_lag728,7420.850337639658
