Date,Revenue,COGS
2023-01-01,3532650.38,3844037.44
2023-01-02,1884415.94,1712238.7
2023-01-03,1418162.48,1296254.39
2023-01-04,1473520.03,1168786.9
2023-01-05,1606992.86,1252658.11
2023-01-06,1653785.51,1376025.38
2023-01-07,1891062.39,1551476.67
2023-01-08,1857608.62,1594203.84
2023-01-09,2036091.48,1815363.0
2023-01-10,2111090.08,1866959.09
2023-01-11,2190810.7,1862148.95
2023-01-12,2028191.26,1659230.46
2023-01-13,2141032.44,1705419.41
2023-01-14,2074830.39,1701111.26
2023-01-15,2170453.96,1880673.33
2023-01-16,2312642.29,2056787.72
2023-01-17,2300421.68,2124923.82
2023-01-18,2197637.17,1925445.43
2023-01-19,2240651.16,1849470.62
2023-01-20,2218008.52,1801695.1
2023-01-21,2416094.48,2037873.42
2023-01-22,2351286.09,2014963.63
2023-01-23,2588630.64,2337358.1
2023-01-24,2712818.98,2390085.66
2023-01-25,2640950.18,2306521.55
2023-01-26,2787547.93,2323005.54
2023-01-27,3152731.96,2684817.08
2023-01-28,3983229.81,3589685.31
2023-01-29,4176170.13,3948885.47
2023-01-30,4119404.01,3838924.94
2023-01-31,3782778.17,3422544.09
2023-02-01,3387477.17,2929433.54
2023-02-02,2115179.27,1796988.34
2023-02-03,1768559.54,1430699.45
2023-02-04,2088812.73,1684371.89
2023-02-05,2369634.48,2046569.08
2023-02-06,2280347.48,1996763.45
2023-02-07,2627650.83,2252399.31
2023-02-08,2532081.67,2124349.3
2023-02-09,2510638.01,2114129.23
2023-02-10,2659025.52,2197724.66
2023-02-11,2830042.86,2324362.88
2023-02-12,3060764.97,2688022.33
2023-02-13,3175870.19,2822131.81
2023-02-14,3311753.95,2986171.02
2023-02-15,3184742.93,2713220.23
2023-02-16,3327296.84,2917992.78
2023-02-17,3206117.91,2773155.59
2023-02-18,3314016.88,2853664.34
2023-02-19,3468619.74,3090162.15
2023-02-20,3747493.0,3491075.83
2023-02-21,3752224.72,3407936.38
2023-02-22,3766760.35,3381388.13
2023-02-23,4238589.33,3736900.72
2023-02-24,4335579.97,3817382.58
2023-02-25,5624256.03,5093763.72
2023-02-26,5653152.02,5220064.76
2023-02-27,5201722.95,4913020.06
2023-02-28,4788826.3,4330015.65
2023-03-01,3550053.05,3276992.71
2023-03-02,2070102.66,1695613.31
2023-03-03,1582738.1,1295712.97
2023-03-04,2004409.4,1701979.98
2023-03-05,2585252.79,2239558.57
2023-03-06,3116692.45,2809592.65
2023-03-07,3154735.27,2847203.29
2023-03-08,3377556.34,3069204.22
2023-03-09,3610948.65,3268808.74
2023-03-10,3710861.79,3416872.56
2023-03-11,4065034.54,3687050.46
2023-03-12,4318301.52,3908149.25
2023-03-13,4491731.79,4189439.57
2023-03-14,4677601.43,4448029.67
2023-03-15,4706589.72,4373019.91
2023-03-16,4728842.65,4271392.6
2023-03-17,4952091.84,4487843.45
2023-03-18,5150839.08,4655426.91
2023-03-19,4974801.01,4568200.27
2023-03-20,5008372.13,4801993.09
