Date,Revenue,COGS
2023-01-01,3845596.8,3718844.56
2023-01-02,1882707.66,1639421.17
2023-01-03,1491885.36,1208475.07
2023-01-04,1583517.4,1305077.84
2023-01-05,1689589.97,1367855.7
2023-01-06,1812126.92,1465511.0
2023-01-07,1958203.25,1552770.39
2023-01-08,1984276.32,1603588.89
2023-01-09,2118346.25,1702362.14
2023-01-10,2217334.05,1792363.88
2023-01-11,2295228.63,1844331.51
2023-01-12,2202620.23,1773674.82
2023-01-13,2326121.48,1853522.47
2023-01-14,2267683.22,1842513.24
2023-01-15,2260797.42,1857577.37
2023-01-16,2386761.77,1874496.5
2023-01-17,2443143.9,1942544.04
2023-01-18,2294036.0,1842917.54
2023-01-19,2256934.26,1854822.32
2023-01-20,2415386.17,1897339.61
2023-01-21,2638276.46,2102294.96
2023-01-22,2539993.58,2046636.76
2023-01-23,2722404.14,2200877.94
2023-01-24,2725178.37,2222370.48
2023-01-25,2807815.25,2262036.34
2023-01-26,2902302.59,2355884.51
2023-01-27,3355820.18,2751838.75
2023-01-28,4317787.59,3556482.05
2023-01-29,4525446.85,3752501.18
2023-01-30,4342264.87,3569499.2
2023-01-31,3858139.77,3162647.13
2023-02-01,3511962.42,2862832.2
2023-02-02,2408263.84,1922079.0
2023-02-03,1899199.51,1564039.02
2023-02-04,2236628.67,1799796.65
2023-02-05,2449571.35,1954547.85
2023-02-06,2493806.04,2011162.68
2023-02-07,2613154.46,2103488.3
2023-02-08,2543354.06,2069342.55
2023-02-09,2672532.34,2152079.75
2023-02-10,2729289.38,2228817.22
2023-02-11,2969156.15,2418646.23
2023-02-12,3010975.85,2429657.13
2023-02-13,3239047.32,2684596.29
2023-02-14,3376979.58,2726379.16
2023-02-15,3133104.21,2538768.02
2023-02-16,3376294.38,2744715.26
2023-02-17,3330045.86,2682571.62
2023-02-18,3429711.42,2790106.81
2023-02-19,3520194.96,2849612.52
2023-02-20,3820375.43,3117570.22
2023-02-21,3585445.49,2874123.17
2023-02-22,3853194.44,3137419.89
2023-02-23,4413113.97,3626855.18
2023-02-24,4535637.65,3745424.19
2023-02-25,6256156.25,5153571.94
2023-02-26,6170424.6,5052054.06
2023-02-27,5585498.56,4588529.25
2023-02-28,4655781.87,3804135.73
2023-03-01,3565192.07,2922545.82
2023-03-02,2103281.23,1667625.3
2023-03-03,1650532.88,1333795.81
2023-03-04,2165725.4,1694472.9
2023-03-05,2671278.22,2130708.81
2023-03-06,3324602.95,2662694.16
2023-03-07,3166961.34,2542978.3
2023-03-08,3428686.91,2762166.38
2023-03-09,3692880.62,3015402.05
2023-03-10,3959397.85,3275895.63
2023-03-11,4370784.31,3540305.91
2023-03-12,4382719.75,3563500.98
2023-03-13,4426762.68,3641653.15
2023-03-14,4822169.95,3930443.65
2023-03-15,4829096.8,3940776.94
2023-03-16,4652103.77,3799583.08
2023-03-17,5494774.29,4478663.37
2023-03-18,5496860.9,4521176.51
2023-03-19,5195169.85,4510095.79
2023-03-20,5141319.36,4462986.52
2023-03-21,5051859.58,4482839.03
2023-03-22,5015393.63,4600502.45
2023-03-23,5073642.79,4669105.02
2023-03-24,5437660.15,4914219.84
2023-03-25,5450606.2,5032422.26
2023-03-26,5885268.27,5460161.9
2023-03-27,5897227.74,5506526.62
2023-03-28,6093546.0,5721625.0
2023-03-29,6030295.2,5556817.88
2023-03-30,11183734.14,10175931.23
2023-03-31,11264400.08,10240704.08
2023-04-01,10862255.28,9768062.43
2023-04-02,9889319.51,8907676.86
2023-04-03,9096053.64,8199616.22
2023-04-04,4230482.7,4091382.18
2023-04-05,3402357.0,3065159.51
2023-04-06,3697540.91,3299166.83
2023-04-07,3832271.29,3502498.38
2023-04-08,4283599.61,4003048.54
2023-04-09,4498460.56,4235812.1
2023-04-10,4673654.19,4405212.14
2023-04-11,4712347.75,4411820.44
2023-04-12,4874937.22,4472430.9
2023-04-13,4939072.33,4555372.93
2023-04-14,5856969.24,5155178.92
2023-04-15,5585931.04,4763055.42
2023-04-16,5708273.49,4833903.69
2023-04-17,6021516.64,4974767.75
2023-04-18,6242588.54,5045541.61
2023-04-19,5796627.69,4615333.91
2023-04-20,6344614.92,5092340.24
2023-04-21,6582388.57,5387565.56
2023-04-22,6644785.8,5412125.81
2023-04-23,6647599.85,5408793.97
2023-04-24,6836947.73,5556289.48
2023-04-25,6970304.38,5705166.8
2023-04-26,7014044.51,5750806.87
2023-04-27,7677130.47,6352952.06
2023-04-28,9393552.95,7663397.45
