Date,Revenue,COGS
2023-01-01,3488852.48,3444118.77
2023-01-02,1759382.02,1541958.95
2023-01-03,1600303.84,1411175.34
2023-01-04,1538514.58,1072591.17
2023-01-05,1695463.22,1130211.23
2023-01-06,1771514.51,1306173.76
2023-01-07,1973517.54,1592245.89
2023-01-08,2050541.98,1723572.58
2023-01-09,2144725.65,1983591.31
2023-01-10,2206261.63,2042923.07
2023-01-11,2255762.12,1886533.96
2023-01-12,1995128.0,1517300.31
2023-01-13,2129682.03,1516450.54
2023-01-14,2049590.59,1607969.19
2023-01-15,2270596.2,1869675.62
2023-01-16,2402053.57,2251583.28
2023-01-17,2338170.56,2425404.96
2023-01-18,2245644.8,2016601.87
2023-01-19,2326722.4,1781118.13
2023-01-20,2207841.64,1619649.71
2023-01-21,2388363.3,1894620.44
2023-01-22,2369376.36,2032301.44
2023-01-23,2575057.52,2405162.46
2023-01-24,2816147.53,2500618.34
2023-01-25,2781395.04,2429355.67
2023-01-26,2818371.5,2242209.26
2023-01-27,3060677.78,2546983.88
2023-01-28,3720542.69,3513718.78
2023-01-29,3872379.04,3896926.31
2023-01-30,3899176.89,3916985.63
2023-01-31,3723287.29,3423488.24
2023-02-01,3388242.27,2835731.86
2023-02-02,2093931.89,1759733.63
2023-02-03,1835918.59,1306431.01
2023-02-04,2010369.16,1444025.63
2023-02-05,2382022.68,2135032.55
2023-02-06,2222280.14,2130691.58
2023-02-07,2665768.62,2334742.59
2023-02-08,2682343.09,2211985.24
2023-02-09,2654905.01,2072406.41
2023-02-10,2776882.16,2154593.94
2023-02-11,2879205.02,2183326.77
2023-02-12,3286655.53,2870164.14
2023-02-13,3388188.47,3079725.37
2023-02-14,3502735.39,3242952.2
2023-02-15,3477852.58,2899167.3
2023-02-16,3336935.61,2823621.42
2023-02-17,3327726.69,2809393.21
2023-02-18,3360069.76,2742337.7
2023-02-19,3691328.73,3345747.43
2023-02-20,3994977.57,3896586.68
2023-02-21,4012061.31,3824575.32
2023-02-22,3946100.77,3706001.56
2023-02-23,4249110.13,3725010.97
2023-02-24,4307131.94,3628122.92
2023-02-25,5067291.19,4925053.0
2023-02-26,5302845.8,5215366.0
2023-02-27,5408654.54,5517304.36
2023-02-28,5496556.76,5053966.22
2023-03-01,3882765.09,3565843.87
2023-03-02,2362269.67,1712436.41
2023-03-03,1924489.07,1406120.27
2023-03-04,2086828.24,1672948.28
2023-03-05,2674499.81,2443390.71
2023-03-06,3242717.88,3124134.76
2023-03-07,3464079.58,3254113.02
2023-03-08,3692515.71,3545052.56
2023-03-09,3907302.11,3483723.9
2023-03-10,3857202.43,3615778.59
2023-03-11,4017230.67,3814133.75
2023-03-12,4495365.09,4121285.49
2023-03-13,4859256.19,4875052.01
2023-03-14,5109157.72,4939336.4
2023-03-15,5200592.63,4855598.59
2023-03-16,5144553.32,4470387.11
2023-03-17,5052471.09,4472826.25
2023-03-18,5297101.96,4799317.01
2023-03-19,5251954.28,4801123.02
2023-03-20,5457581.07,5362747.85
2023-03-21,5638903.29,5675097.11
2023-03-22,5797726.39,5727611.96
2023-03-23,5837681.35,5637445.76
2023-03-24,5544913.58,5292491.87
2023-03-25,5700962.51,5343193.42
2023-03-26,5918461.85,5604380.65
2023-03-27,6270721.47,6657613.79
2023-03-28,6440740.21,6697992.23
2023-03-29,6683787.66,7356113.23
2023-03-30,8683384.16,12197558.97
2023-03-31,8545217.9,11000984.6
2023-04-01,9657575.77,10787660.32
2023-04-02,9539001.73,9631135.02
2023-04-03,8437929.56,8978588.57
2023-04-04,4109644.26,3446967.37
2023-04-05,3665169.76,3331438.32
2023-04-06,3652591.32,3208959.46
2023-04-07,3894781.77,3081798.5
2023-04-08,3925087.44,3514926.8
2023-04-09,4416592.55,3973977.92
2023-04-10,4966238.37,4860911.72
2023-04-11,5103795.08,4981321.51
2023-04-12,5262029.9,5180965.08
2023-04-13,5341915.1,5015490.46
2023-04-14,5618656.35,5385500.69
2023-04-15,5610714.06,5081904.55
2023-04-16,5634709.38,5133291.37
