Date,Revenue,COGS
2023-01-01,3520282.11,3800947.67
2023-01-02,1871155.3,1714200.35
2023-01-03,1427145.19,1304045.71
2023-01-04,1470459.42,1159937.26
2023-01-05,1604849.39,1246028.23
2023-01-06,1649928.69,1368386.69
2023-01-07,1886353.42,1544803.57
2023-01-08,1869332.85,1596122.36
2023-01-09,2039620.67,1820036.95
2023-01-10,2112020.53,1874253.4
2023-01-11,2187156.25,1856892.54
2023-01-12,2016356.88,1646485.4
2023-01-13,2127899.95,1684458.57
2023-01-14,2061312.16,1687968.77
2023-01-15,2169298.4,1871412.85
2023-01-16,2323227.55,2069383.15
2023-01-17,2312475.18,2137180.86
2023-01-18,2210089.64,1925367.09
2023-01-19,2238497.32,1844303.46
2023-01-20,2216984.84,1789996.25
2023-01-21,2404401.22,2024448.65
2023-01-22,2351498.15,2019026.63
2023-01-23,2587915.86,2336832.43
2023-01-24,2719975.64,2389041.47
2023-01-25,2649296.83,2308121.81
2023-01-26,2782910.62,2312630.77
2023-01-27,3139315.8,2661818.19
2023-01-28,3954692.79,3569374.9
2023-01-29,4160614.1,3942266.6
2023-01-30,4110743.29,3839524.66
2023-01-31,3757775.02,3402754.25
2023-02-01,3370575.84,2913371.95
2023-02-02,2124159.95,1787368.65
2023-02-03,1758133.92,1416498.99
2023-02-04,2071000.14,1656893.48
2023-02-05,2365141.81,2037759.71
2023-02-06,2275876.37,1996026.72
2023-02-07,2622860.28,2249832.3
2023-02-08,2533633.1,2121937.3
2023-02-09,2508211.75,2104347.35
2023-02-10,2651786.64,2192626.48
2023-02-11,2812927.19,2304058.77
2023-02-12,3070763.29,2695285.95
2023-02-13,3179083.54,2838542.46
2023-02-14,3329321.83,3007943.43
2023-02-15,3193882.2,2725744.38
2023-02-16,3309190.87,2910935.8
2023-02-17,3202914.73,2774167.98
2023-02-18,3293254.42,2834576.08
2023-02-19,3482333.11,3097671.44
2023-02-20,3759441.53,3518322.19
2023-02-21,3762748.89,3429925.7
2023-02-22,3774109.81,3396270.12
2023-02-23,4228995.89,3720421.41
2023-02-24,4323946.7,3792674.08
2023-02-25,5579784.19,5062529.73
2023-02-26,5645902.05,5207227.22
2023-02-27,5241824.54,4945307.87
2023-02-28,4865495.62,4401188.91
2023-03-01,3563659.23,3290384.04
2023-03-02,2083498.49,1706738.13
2023-03-03,1589886.38,1293339.75
2023-03-04,2000617.18,1686322.27
2023-03-05,2582797.69,2245633.39
2023-03-06,3137904.99,2837916.52
2023-03-07,3184041.5,2879679.39
2023-03-08,3415077.3,3112974.75
2023-03-09,3634788.94,3291120.32
2023-03-10,3737334.7,3442102.91
2023-03-11,4078041.87,3709121.1
2023-03-12,4355002.24,3935230.99
2023-03-13,4564220.48,4260119.32
2023-03-14,4754811.06,4503923.96
2023-03-15,4792878.2,4432110.85
2023-03-16,4782106.22,4306245.06
2023-03-17,4981255.39,4493024.25
2023-03-18,5186595.64,4685058.21
2023-03-19,5007432.43,4599863.55
2023-03-20,5080002.93,4875052.52
2023-03-21,5165558.89,5022740.49
2023-03-22,5267512.65,5108596.42
2023-03-23,5238174.46,5055345.33
2023-03-24,5120706.85,4972117.92
2023-03-25,5358614.88,5228614.61
2023-03-26,5613319.48,5423079.2
2023-03-27,5909193.62,5949823.12
2023-03-28,6119093.36,6166920.71
2023-03-29,6144202.71,6316576.33
2023-03-30,9724981.62,10835399.19
2023-03-31,9841654.37,10269000.74
2023-04-01,10031449.71,9791288.81
2023-04-02,9376038.24,9164070.82
2023-04-03,8215157.5,8455257.12
2023-04-04,3994190.2,3772584.02
2023-04-05,3409501.38,3286049.02
2023-04-06,3586203.58,3398087.49
2023-04-07,3713858.32,3331166.19
2023-04-08,3980955.76,3751920.74
2023-04-09,4318142.52,4048864.9
2023-04-10,4669613.77,4551026.99
2023-04-11,4644451.24,4546326.11
2023-04-12,4827583.46,4719776.04
2023-04-13,4892509.08,4710764.7
2023-04-14,5430663.81,5296324.76
2023-04-15,5394176.88,4903584.26
2023-04-16,5392565.5,4928335.97
2023-04-17,5593581.62,4995753.32
2023-04-18,5661809.16,4865439.55
2023-04-19,5276462.49,4693197.12
2023-04-20,5839441.88,5102694.55
2023-04-21,5840669.69,5048656.93
2023-04-22,5945264.02,5173167.58
2023-04-23,5840965.77,5042746.35
2023-04-24,6268528.06,5532230.03
2023-04-25,6451556.59,5673454.19
2023-04-26,6472016.57,5759410.62
2023-04-27,6859248.07,6119934.41
2023-04-28,7829445.9,6752598.21
2023-04-29,9713013.98,8394832.33
2023-04-30,9469072.17,7788592.59
2023-05-01,8701988.7,7335458.21
2023-05-02,7715354.11,6515621.79
2023-05-03,6466059.57,5890639.77
2023-05-04,3250668.39,2666397.32
2023-05-05,3687453.12,3119565.72
2023-05-06,3772033.48,3277064.72
2023-05-07,4286082.73,3729919.02
2023-05-08,4373667.57,3862346.71
2023-05-09,4594220.08,4008377.03
2023-05-10,4788035.24,4193952.68
2023-05-11,5006097.28,4374056.33
2023-05-12,5138150.39,4503629.63
2023-05-13,5451531.64,4765425.93
2023-05-14,5705392.24,4984072.31
2023-05-15,5701496.9,4953580.52
2023-05-16,5869617.97,5195082.83
2023-05-17,5950969.4,5342385.73
2023-05-18,5698768.42,4916403.76
2023-05-19,5464289.23,4690344.07
2023-05-20,5471713.59,4766965.85
2023-05-21,5774171.35,5101207.3
2023-05-22,5843299.72,5131187.7
2023-05-23,6342533.18,5564647.29
2023-05-24,6257744.66,5443210.6
2023-05-25,5923031.95,5045372.8
2023-05-26,5657117.2,4875055.07
2023-05-27,6143669.99,5387961.99
2023-05-28,6341630.74,5481371.77
2023-05-29,6927842.05,6108615.15
2023-05-30,10005410.94,9031669.49
2023-05-31,10319404.15,10130301.48
