Date,Revenue,COGS
2023-01-01,3422069.53,3502632.53
2023-01-02,1665864.82,1536058.34
2023-01-03,1450330.81,1267069.98
2023-01-04,1465295.85,1186631.93
2023-01-05,1591120.07,1267651.8
2023-01-06,1672226.72,1399028.59
2023-01-07,1853849.41,1540284.26
2023-01-08,1902719.09,1633874.15
2023-01-09,2053400.86,1818440.35
2023-01-10,2106059.29,1855915.4
2023-01-11,2183663.65,1842820.37
2023-01-12,2014362.81,1664190.99
2023-01-13,2157120.2,1721134.96
2023-01-14,2072384.78,1713616.33
2023-01-15,2148895.82,1825347.81
2023-01-16,2267858.71,1984608.2
2023-01-17,2307981.32,2093963.9
2023-01-18,2220431.83,1899295.7
2023-01-19,2172205.07,1823295.56
2023-01-20,2241373.13,1797187.61
2023-01-21,2396947.37,1977845.02
2023-01-22,2363324.17,2014189.15
2023-01-23,2523294.35,2240134.95
2023-01-24,2662552.41,2322066.46
2023-01-25,2705554.77,2309912.45
2023-01-26,2774609.33,2335167.87
2023-01-27,3127455.31,2674184.57
2023-01-28,3940048.44,3507475.89
2023-01-29,4124426.41,3798982.72
2023-01-30,3992739.85,3677004.14
2023-01-31,3641219.64,3221924.94
2023-02-01,3309354.29,2819827.51
2023-02-02,2165427.54,1835920.71
2023-02-03,1744350.35,1442195.86
2023-02-04,1992735.17,1622543.59
2023-02-05,2276403.73,1973673.05
2023-02-06,2274867.9,2005864.97
2023-02-07,2509805.71,2154644.82
2023-02-08,2481811.0,2110591.97
2023-02-09,2522193.74,2103196.04
2023-02-10,2606635.07,2184551.79
2023-02-11,2773315.1,2293237.43
2023-02-12,2968060.48,2566260.05
2023-02-13,3114411.15,2783822.35
2023-02-14,3288504.3,2924088.13
2023-02-15,3161964.67,2685100.72
2023-02-16,3198073.55,2767910.74
2023-02-17,3178733.61,2728172.56
2023-02-18,3226275.02,2737456.54
2023-02-19,3402542.09,2985531.56
2023-02-20,3716058.86,3375655.12
2023-02-21,3621274.66,3239939.27
2023-02-22,3765476.74,3365484.96
2023-02-23,4202504.39,3680461.86
2023-02-24,4258039.08,3680440.94
2023-02-25,5590097.72,5046482.98
2023-02-26,5613631.31,5125382.45
2023-02-27,5373375.91,4978136.61
2023-02-28,4777956.69,4253683.39
2023-03-01,3497077.49,3145782.83
2023-03-02,2028660.7,1680242.54
2023-03-03,1612663.97,1314503.12
2023-03-04,2032624.81,1691137.83
2023-03-05,2564632.81,2232789.48
2023-03-06,3198380.72,2826876.02
2023-03-07,3225586.52,2865174.97
2023-03-08,3448088.72,3094136.33
2023-03-09,3650644.47,3224339.74
2023-03-10,3760576.66,3382902.62
2023-03-11,4060989.34,3603600.19
2023-03-12,4323822.81,3837586.73
2023-03-13,4556145.37,4194270.64
2023-03-14,4792266.6,4348227.88
2023-03-15,4770845.62,4259914.11
2023-03-16,4722271.54,4108900.56
2023-03-17,5103560.27,4486335.48
2023-03-18,5194360.54,4622445.72
2023-03-19,5005769.13,4625304.85
2023-03-20,5093875.19,4833105.04
2023-03-21,5094265.3,4952866.14
2023-03-22,5154832.78,5064552.53
