Date,Revenue,COGS
2023-01-01,3502026.32,3586686.96
2023-01-02,1747225.92,1625557.57
2023-01-03,1490875.6,1315312.68
2023-01-04,1497451.23,1204597.37
2023-01-05,1617435.99,1278805.85
2023-01-06,1694092.9,1412072.56
2023-01-07,1879122.6,1562003.29
2023-01-08,1928428.73,1655165.98
2023-01-09,2047126.87,1833131.81
2023-01-10,2136156.89,1908668.28
2023-01-11,2197636.79,1865349.68
2023-01-12,2038441.24,1684480.02
2023-01-13,2154687.31,1709256.43
2023-01-14,2092645.24,1733476.41
2023-01-15,2176983.21,1853927.19
2023-01-16,2328998.08,2063513.4
2023-01-17,2340109.14,2158068.18
2023-01-18,2224028.18,1914139.55
2023-01-19,2208888.34,1853004.22
2023-01-20,2251022.22,1802113.68
2023-01-21,2423256.21,2009972.85
2023-01-22,2391145.2,2055837.99
2023-01-23,2579024.57,2316218.72
2023-01-24,2686274.31,2364016.3
2023-01-25,2719807.19,2341637.7
2023-01-26,2785168.47,2350557.66
2023-01-27,3100079.42,2665118.34
2023-01-28,3901221.51,3531626.33
2023-01-29,4100331.61,3855439.25
2023-01-30,4024625.64,3770365.16
2023-01-31,3648442.06,3271484.05
2023-02-01,3320025.25,2854265.6
2023-02-02,2209567.98,1866341.57
2023-02-03,1764114.58,1449417.85
2023-02-04,2031256.55,1640373.18
2023-02-05,2334869.24,2035796.89
2023-02-06,2306523.39,2058394.03
2023-02-07,2540569.35,2203088.38
2023-02-08,2506874.87,2138250.68
2023-02-09,2557866.28,2136079.4
2023-02-10,2627173.21,2211659.27
2023-02-11,2788965.07,2307771.16
2023-02-12,3031150.96,2641992.73
2023-02-13,3177355.36,2878459.63
2023-02-14,3322155.77,2998178.52
2023-02-15,3156465.09,2709184.52
2023-02-16,3215082.54,2814715.4
2023-02-17,3193884.01,2766952.09
2023-02-18,3238873.88,2766854.88
2023-02-19,3452385.14,3056211.45
2023-02-20,3761514.69,3487553.5
2023-02-21,3649233.66,3319953.27
2023-02-22,3774082.47,3421526.54
2023-02-23,4218905.74,3721013.77
2023-02-24,4275507.81,3716098.06
2023-02-25,5472811.34,5041920.51
2023-02-26,5571492.36,5156126.0
2023-02-27,5362993.1,5053884.91
2023-02-28,4898538.94,4417706.19
2023-03-01,3477204.8,3169513.52
2023-03-02,2082034.47,1717536.74
2023-03-03,1658089.86,1344721.62
2023-03-04,2031671.34,1685088.74
2023-03-05,2577059.21,2277044.25
2023-03-06,3215125.21,2891653.3
2023-03-07,3229727.79,2913773.95
2023-03-08,3441537.14,3149702.94
2023-03-09,3657171.81,3276812.02
2023-03-10,3793098.67,3466793.92
2023-03-11,4088168.83,3685335.07
2023-03-12,4338319.64,3892962.42
2023-03-13,4575450.72,4292195.69
2023-03-14,4862567.3,4474008.9
2023-03-15,4870496.33,4396553.85
2023-03-16,4758766.0,4175971.53
2023-03-17,5123105.7,4537283.28
2023-03-18,5236028.18,4713839.23
2023-03-19,5049314.0,4709492.4
2023-03-20,5177176.55,4972162.99
2023-03-21,5182645.95,5104082.44
2023-03-22,5236124.44,5199824.86
2023-03-23,5271938.27,5169163.75
2023-03-24,5302648.26,5166179.24
2023-03-25,5369174.34,5236208.86
2023-03-26,5675973.54,5570402.24
2023-03-27,5885028.92,6088671.82
2023-03-28,6062808.59,6257789.28
2023-03-29,6133623.82,6394547.14
2023-03-30,9780729.3,11148205.69
2023-03-31,9727844.0,10615874.23
2023-04-01,9919279.09,10220765.08
2023-04-02,9378685.83,9351564.82
2023-04-03,8538526.7,8640516.3
2023-04-04,4006049.22,3805385.22
2023-04-05,3397873.04,3240625.2
2023-04-06,3552163.57,3322673.98
2023-04-07,3704704.65,3330890.47
2023-04-08,3973035.75,3780272.18
2023-04-09,4338104.81,4178018.54
2023-04-10,4669277.57,4652455.4
2023-04-11,4755190.86,4691992.56
2023-04-12,4905647.71,4829018.79
2023-04-13,4950466.93,4814433.59
2023-04-14,5537410.4,5303741.3
2023-04-15,5396475.47,4956160.16
2023-04-16,5473411.87,5030692.28
2023-04-17,5693466.12,5088789.61
2023-04-18,5781635.39,5000867.56
2023-04-19,5518502.72,4798413.76
2023-04-20,5806046.66,5031503.9
2023-04-21,5858747.18,5178818.47
2023-04-22,5905237.13,5110785.12
2023-04-23,5848686.61,5103467.67
2023-04-24,6204315.68,5458008.91
2023-04-25,6353467.46,5594278.22
2023-04-26,6460272.02,5749343.26
2023-04-27,6959523.27,6280653.92
2023-04-28,7945007.98,7001470.8
2023-04-29,9893408.13,8840062.98
2023-04-30,9754299.75,8314884.87
2023-05-01,9063065.84,7645523.18
2023-05-02,7811008.27,6631222.14
2023-05-03,6587681.92,6001766.67
2023-05-04,3337842.24,2726975.86
2023-05-05,3702097.7,3090416.48
2023-05-06,3816292.8,3203510.57
2023-05-07,4344072.56,3682308.34
2023-05-08,4390174.71,3736017.68
2023-05-09,4626727.74,3935728.92
2023-05-10,4842934.29,4171523.33
2023-05-11,5104533.99,4404474.97
2023-05-12,5124143.09,4464513.24
2023-05-13,5504321.66,4773627.49
2023-05-14,5811572.66,5084961.92
2023-05-15,5684084.78,4957046.59
2023-05-16,5903001.69,5247065.18
2023-05-17,5974654.05,5348546.05
2023-05-18,5765217.12,5019045.04
2023-05-19,5432008.01,4638513.2
2023-05-20,5571209.42,4890744.62
2023-05-21,5792747.42,5168575.52
