product_id,product_name,category,segment,peak_month,revenue_peak_month,units,gross_margin_peak_month,avg_month_revenue,peak_season_index,revenue_total,gross_margin_total,promo_revenue_share,return_rate_qty,avg_rating,n_reviews
1,DragonWear MA-01,Casual,All-weather,12,31302.32,8,9439.2536,31302.32,1.0,31302.32,9439.2536,1.0,0.0,,
3,DragonWear MA-03,Casual,All-weather,6,3223869.87,315,-17419.753648300524,2200907.96,1.4647908629491257,26410895.52,-177969.20224510648,0.33195661136748916,0.03444272445820434,4.151515151515151,99.0
4,DragonWear MA-04,Casual,All-weather,8,963042.93,100,402639.7172173912,569851.4191666667,1.689989526407295,6838217.03,2719253.4160478255,0.2035300684219436,0.027210884353741496,3.857142857142857,28.0
5,DragonWear MA-05,Casual,All-weather,3,7673.59,1,-825.1099999999988,7673.59,1.0,7673.59,-825.1099999999988,1.0,0.0,,
7,DragonWear MA-07,Casual,All-weather,4,120971.31,24,36156.998754,52755.09777777778,2.293073372919748,474795.88,139072.56465125,0.37811768712062116,0.12631578947368421,3.8,5.0
8,DragonWear MA-08,Casual,All-weather,5,2135653.86,401,648182.7059641245,1001125.93,2.1332519676121064,12013511.16,3199966.3670093766,0.31855113039242394,0.03787878787878788,4.125,72.0
9,DragonWear MA-09,Casual,All-weather,9,1480077.94,229,133780.8311387499,864557.2233333333,1.7119490764226144,10374686.68,1291590.4651937494,0.32973126856877766,0.032362459546925564,3.857142857142857,63.0
10,DragonWear MA-10,Casual,All-weather,2,198176.16,24,11587.800000000036,73518.64428571428,2.6955905121132444,514630.51,9287.035000000098,0.210169875081833,0.015384615384615385,5.0,3.0
12,DragonWear MA-12,Casual,All-weather,9,82427.5,17,17338.28802869565,35955.854166666664,2.292463964780886,431470.25,94537.85861913042,0.5423744279008809,0.03409090909090909,5.0,1.0
13,DragonWear MA-13,Casual,All-weather,4,216971.37,44,38034.90108000001,102906.55636363638,2.1084309655965727,1131972.1199999999,204755.87196000002,0.3002565911252302,0.0,4.333333333333333,6.0
14,DragonWear MA-14,Casual,All-weather,4,89607.59,19,6067.237384000003,45338.186,1.9764264498804605,453381.86,31283.236256000022,0.23706724834557782,0.0,4.0,3.0
15,DragonWear MA-15,Casual,All-weather,6,111398.70999999999,22,37461.054207999994,52326.865,2.1289009001399184,418614.92,143029.11204799998,0.6019285218023286,0.012195121951219513,4.0,4.0
17,DragonWear MA-17,Casual,All-weather,4,526117.42,115,49984.07473529412,308003.06083333335,1.7081564662913942,3696036.73,383804.7629411764,0.30516528443698665,0.0425,3.9166666666666665,24.0
19,DragonWear MA-19,Casual,All-weather,10,44270.69,10,2553.9533954098333,39972.285,1.1075346330588807,79944.57,-3488.903209180333,0.44623268347055967,0.0,4.0,1.0
20,DragonWear MA-20,Casual,All-weather,7,38393.82,6,6688.729800000001,18912.876666666667,2.030035973727247,56738.63,9180.994700000001,0.0,0.2222222222222222,,
21,DragonWear MA-21,Casual,All-weather,3,302739.75,61,30897.90074273684,92019.42272727273,3.2899548924280957,1012213.65,94190.35578694739,0.29482539580453193,0.014563106796116505,3.5,4.0
22,DragonWear MA-22,Casual,All-weather,4,47310.56,8,19395.259999999995,33626.17,1.4069565460473197,67252.34,28868.80249999999,0.7034782730236598,0.0,,
23,DragonWear MA-23,Casual,All-weather,11,223047.98,27,63846.88235000001,97778.651,2.281152150483238,977786.51,287915.08685,0.4019261627980529,0.042735042735042736,4.75,4.0
