table,rows,columns,date_min,date_max,duplicate_rows,max_missing_column,max_missing_pct
products,2412,8,,,0,product_id,0.0
customers,121930,7,2012-01-17,2022-12-31,0,customer_id,0.0
promotions,50,10,2013-01-31,2022-12-31,0,applicable_category,80.0
geography,39948,4,,,0,zip,0.0
orders,646945,8,2012-07-04,2022-12-31,0,order_id,0.0
order_items,714669,7,,,0,promo_id_2,99.97
payments,646945,4,,,0,order_id,0.0
shipments,566067,4,2012-07-04,2022-12-31,0,order_id,0.0
returns,39939,7,2012-07-11,2022-12-31,0,return_id,0.0
reviews,113551,7,2012-07-10,2022-12-31,0,review_id,0.0
sales,3833,3,2012-07-04,2022-12-31,0,Date,0.0
inventory,60247,17,2012-07-31,2022-12-31,0,snapshot_date,0.0
web_traffic,3652,7,2013-01-01,2022-12-31,0,date,0.0
