feature,gain,split,target
n_orders_clim,29497.738841682673,1584,Revenue
Revenue_lag_728,14673.400599924847,1980,Revenue
bounce_rate_lag365,13903.872224450111,2263,Revenue
refund_amount_lag365,13835.183090984821,2209,Revenue
bounce_rate_lag548,13326.422081261873,2158,Revenue
refund_amount_lag548,13276.262575656176,2121,Revenue
fourier_sin_w_2,12608.117926731706,2123,Revenue
fourier_sin_w_1,12575.703610848635,2140,Revenue
fourier_cos_w_1,12419.129895653576,2080,Revenue
avg_basket_lag365,11931.434447795153,1944,Revenue
avg_basket_lag548,11778.54430298484,1886,Revenue
Revenue_lag_364,11597.189794778824,1759,Revenue
n_orders_lag365,11318.408822357655,1496,Revenue
Revenue_lag_365,11107.053606014699,1460,Revenue
Revenue_roll_std_7_lag364,11073.875808387995,1820,Revenue
bounce_rate_clim,10246.629808306694,1670,Revenue
avg_basket_clim,10139.945985555649,1412,Revenue
page_views_lag365,10034.673428073525,1549,Revenue
page_views_lag548,10030.344554252923,1600,Revenue
fourier_cos_w_2,9466.089373409748,1636,Revenue
Revenue_roll_std_364_lag364,9237.037297070026,1242,Revenue
Revenue_roll_mean_364_lag364,9023.10416919738,1255,Revenue
n_orders_lag548,8773.338792443275,1437,Revenue
sessions_lag365,8737.913739204407,1084,Revenue
unique_visitors_lag365,8162.674019187689,1166,Revenue
refund_amount_clim,8007.862669795752,1322,Revenue
Revenue_roll_mean_7_lag364,7540.60947021842,1156,Revenue
unique_visitors_lag548,6731.708346784115,1064,Revenue
Revenue_roll_std_28_lag364,6566.538387477398,1017,Revenue
fourier_sin_y_4,6540.079090595245,1124,Revenue
sessions_lag548,6431.361965060234,1001,Revenue
fourier_cos_y_3,6337.419029176235,1075,Revenue
fourier_sin_y_3,5884.638818576932,1008,Revenue
page_views_clim,5762.795330308378,849,Revenue
fourier_cos_y_4,5640.4323985129595,948,Revenue
day,5485.386002853513,984,Revenue
Revenue_roll_mean_91_lag364,5316.608507782221,840,Revenue
