feature,mean_abs_shap,target
n_orders_clim,0.29386709967750174,Revenue
avg_basket_clim,0.05114967100365822,Revenue
Revenue_lag_365,0.021700295330430296,Revenue
Revenue_lag_364,0.019425709943221424,Revenue
Revenue_lag_728,0.015574661844407794,Revenue
fourier_cos_w_1,0.012327841190786342,Revenue
fourier_sin_w_1,0.01080306316821401,Revenue
avg_basket_lag365,0.010780730177107354,Revenue
Revenue_roll_mean_364_lag364,0.010623160267747083,Revenue
year,0.010236740734053198,Revenue
fourier_sin_w_2,0.009939162895355087,Revenue
dow,0.008666149440226605,Revenue
day,0.007787942251920105,Revenue
avg_basket_lag548,0.007243509199569587,Revenue
Revenue_roll_mean_91_lag364,0.007007575638893217,Revenue
n_orders_lag365,0.006914731708920006,Revenue
Revenue_roll_std_364_lag364,0.006141840130359025,Revenue
Revenue_roll_mean_28_lag364,0.005990900077356678,Revenue
page_views_lag548,0.0057442582825743905,Revenue
refund_amount_lag365,0.005637247777686401,Revenue
unique_visitors_lag365,0.005623814908670253,Revenue
stockout_rate_lag365,0.005568099573082842,Revenue
mean_fill_rate_lag548,0.005529235946268318,Revenue
bounce_rate_lag365,0.005526531929565739,Revenue
page_views_lag365,0.005464785371560247,Revenue
Revenue_roll_mean_7_lag364,0.005268954471192069,Revenue
days_of_supply_lag548,0.00520108867515136,Revenue
Revenue_roll_std_91_lag364,0.0051080081610422046,Revenue
bounce_rate_lag548,0.005078430130271082,Revenue
Revenue_roll_std_7_lag364,0.005037541188229556,Revenue
refund_amount_lag548,0.00462046835837783,Revenue
day_of_year,0.004548591567350992,Revenue
fourier_cos_y_2,0.0045441927128699435,Revenue
sessions_lag548,0.004484496184602047,Revenue
unique_visitors_lag548,0.0044144648412937,Revenue
page_views_clim,0.004120563790945871,Revenue
fourier_sin_y_1,0.0040514291177644055,Revenue
sessions_lag365,0.003998321075775941,Revenue
fourier_sin_y_3,0.0038724877413721178,Revenue
mean_fill_rate_lag365,0.003794287035954496,Revenue
promo_share_lag548,0.0037032936944637806,Revenue
fourier_cos_y_1,0.0036812580540194328,Revenue
overstock_rate_lag365,0.0036558029657745533,Revenue
fourier_sin_y_4,0.0036450408264653658,Revenue
n_orders_lag548,0.003504707664806932,Revenue
promo_share_lag365,0.0034920914893468847,Revenue
fourier_sin_y_2,0.003417746340089454,Revenue
Revenue_roll_std_28_lag364,0.0034085732160950505,Revenue
stockout_rate_lag548,0.0033654193857958216,Revenue
overstock_rate_lag548,0.0031680243339831655,Revenue
total_discount_lag548,0.0031586779129960003,Revenue
days_of_supply_lag365,0.002945921524963572,Revenue
fourier_cos_y_3,0.0027636917697582944,Revenue
refund_amount_clim,0.002757913756191125,Revenue
promo_share_clim,0.0026856696966373913,Revenue
fourier_cos_w_2,0.002569641079558639,Revenue
fourier_cos_y_4,0.0024540544397841043,Revenue
total_discount_clim,0.002357751969322463,Revenue
total_discount_lag365,0.002349485777263203,Revenue
unique_visitors_clim,0.0022871701869117533,Revenue
bounce_rate_clim,0.0022220839345648852,Revenue
sessions_clim,0.0020609171187611877,Revenue
stockout_rate_clim,0.0017722729428539202,Revenue
week_of_year,0.0017553806162672275,Revenue
mean_fill_rate_clim,0.0009217131058683732,Revenue
month,0.0006668501470857483,Revenue
overstock_rate_clim,0.00015504540214367972,Revenue
days_of_supply_clim,0.00012932729804953578,Revenue
is_month_start,2.0991963049549032e-05,Revenue
is_month_end,3.753567096580134e-06,Revenue
is_weekend,1.3805432137935914e-06,Revenue
quarter,4.382993681164046e-07,Revenue
is_quarter_start,0.0,Revenue
is_quarter_end,0.0,Revenue
is_post_regime,0.0,Revenue
is_holiday,0.0,Revenue
n_orders_clim,0.290687276514928,COGS
COGS_lag_365,0.028970500925157523,COGS
COGS_roll_mean_364_lag364,0.020204871156187264,COGS
mean_fill_rate_lag548,0.019108002937531787,COGS
COGS_lag_364,0.017973838327829686,COGS
avg_basket_clim,0.015447365275718565,COGS
dow,0.012350663459325211,COGS
fourier_sin_w_1,0.011483710322575967,COGS
fourier_cos_w_1,0.011166793974657491,COGS
fourier_sin_w_2,0.010809887245935318,COGS
COGS_roll_mean_7_lag364,0.009728450921937248,COGS
COGS_roll_mean_91_lag364,0.009042445189998425,COGS
day,0.00845833204604413,COGS
page_views_lag365,0.008133717801745599,COGS
overstock_rate_lag365,0.007654450574555874,COGS
COGS_roll_std_91_lag364,0.0069015917629838604,COGS
COGS_lag_728,0.006792920503695518,COGS
avg_basket_lag365,0.006733902061681891,COGS
avg_basket_lag548,0.006367948682857533,COGS
page_views_lag548,0.00587482600248649,COGS
fourier_cos_y_1,0.005837570662154158,COGS
COGS_roll_std_364_lag364,0.00532740264580863,COGS
year,0.005324925953177844,COGS
bounce_rate_lag365,0.005259442114749185,COGS
unique_visitors_lag365,0.005170391102717245,COGS
refund_amount_lag548,0.005087253433481996,COGS
bounce_rate_lag548,0.004907399173022301,COGS
n_orders_lag365,0.004788306617780658,COGS
stockout_rate_lag548,0.004757983895549629,COGS
sessions_lag548,0.004727761412883094,COGS
stockout_rate_lag365,0.004695893219196093,COGS
refund_amount_lag365,0.0044245624216490845,COGS
page_views_clim,0.004124214909044986,COGS
total_discount_clim,0.004030013101790201,COGS
COGS_roll_std_7_lag364,0.003994103943796946,COGS
n_orders_lag548,0.003747079266238474,COGS
COGS_roll_std_28_lag364,0.0036993574653742217,COGS
sessions_lag365,0.0036282012823584025,COGS
unique_visitors_lag548,0.003574687890920962,COGS
unique_visitors_clim,0.0029888361568131427,COGS
fourier_cos_y_4,0.0028397779036381217,COGS
fourier_cos_y_3,0.0027676098774636485,COGS
mean_fill_rate_lag365,0.002751654165531092,COGS
refund_amount_clim,0.0026821465646665313,COGS
fourier_cos_w_2,0.002535999438225192,COGS
days_of_supply_lag548,0.0025124390174422256,COGS
bounce_rate_clim,0.0024885080164614008,COGS
fourier_sin_y_4,0.0024165144591811252,COGS
overstock_rate_lag548,0.002366087164496188,COGS
COGS_roll_mean_28_lag364,0.002164663308455066,COGS
fourier_cos_y_2,0.0019869344031168117,COGS
fourier_sin_y_1,0.001955339602501768,COGS
fourier_sin_y_3,0.001830555043392956,COGS
sessions_clim,0.0017665610467547008,COGS
promo_share_lag548,0.001662177987959137,COGS
days_of_supply_lag365,0.0016450221819352474,COGS
fourier_sin_y_2,0.0013935696465973565,COGS
promo_share_lag365,0.0013045594238400445,COGS
total_discount_lag548,0.0012554194562947462,COGS
total_discount_lag365,0.001202840071110002,COGS
promo_share_clim,0.0010672622203975334,COGS
day_of_year,0.0008413885486931584,COGS
week_of_year,0.0006326006174473482,COGS
stockout_rate_clim,0.00045962910531540573,COGS
mean_fill_rate_clim,0.00026324932843850465,COGS
overstock_rate_clim,0.0001015238973405265,COGS
month,0.00010110514164534168,COGS
days_of_supply_clim,8.399449296972774e-05,COGS
is_month_start,3.0120212483626908e-05,COGS
is_weekend,1.3636705251440507e-05,COGS
quarter,3.921217171961077e-06,COGS
is_month_end,2.3145347053622006e-06,COGS
is_quarter_start,0.0,COGS
is_quarter_end,0.0,COGS
is_post_regime,0.0,COGS
is_holiday,0.0,COGS
